716c6000-716c7000 rw-p 00003000 fd:04 2056                               /system/framework/arm64/boot-miui-telephony-common.oat
716c7000-71e12000 rw-p 00000000 00:00 0                                  [anon:dalvik-zygote space]
71e12000-71e13000 rw-p 00000000 00:00 0                                  [anon:dalvik-non moving space]
71e13000-71e4a000 rw-p 00000000 00:00 0                                  [anon:dalvik-non moving space]
71e4a000-74ec8000 ---p 00000000 00:00 0                                  [anon:dalvik-non moving space]
74ec8000-756c7000 rw-p 00000000 00:00 0                                  [anon:dalvik-non moving space]
756c7000-956c7000 rw-p 00000000 00:00 0                                  [anon:dalvik-free list large object space]
956c7000-976c7000 r--s 00000000 00:01 28462                              /memfd:jit-zygote-cache (deleted)
976c7000-996c7000 r-xs 02000000 00:01 28462                              /memfd:jit-zygote-cache (deleted)
996c7000-9b6c7000 r--s 00000000 00:01 1322503                            /memfd:jit-cache (deleted)
9b6c7000-9d6c7000 r-xs 02000000 00:01 1322503                            /memfd:jit-cache (deleted)
ebad6000-ebad7000 ---p 00000000 00:00 0                                  [anon:dalvik-Sentinel fault page]
200000000-200201000 ---p 00000000 00:00 0                                [anon:partition_alloc]
200201000-200202000 rw-p 00000000 00:00 0                                [anon:partition_alloc]
200202000-20020c000 ---p 00000000 00:00 0                                [anon:partition_alloc]
20020c000-200223000 rw-p 00000000 00:00 0                                [anon:partition_alloc]
200223000-200224000 ---p 00000000 00:00 0                                [anon:partition_alloc]
200224000-20024b000 rw-p 00000000 00:00 0                                [anon:partition_alloc]
20024b000-20024c000 ---p 00000000 00:00 0                                [anon:partition_alloc]
20024c000-20028f000 rw-p 00000000 00:00 0                                [anon:partition_alloc]
20028f000-200290000 ---p 00000000 00:00 0                                [anon:partition_alloc]
200290000-20029a000 rw-p 00000000 00:00 0                                [anon:partition_alloc]
20029a000-20029c000 ---p 00000000 00:00 0                                [anon:partition_alloc]
20029c000-2002ab000 rw-p 00000000 00:00 0                                [anon:partition_alloc]
2002ab000-2002ac000 ---p 00000000 00:00 0                                [anon:partition_alloc]
2002ac000-2002c7000 rw-p 00000000 00:00 0                                [anon:partition_alloc]
2002c7000-2002c8000 ---p 00000000 00:00 0                                [anon:partition_alloc]
2002c8000-2002d7000 rw-p 00000000 00:00 0                                [anon:partition_alloc]
2002d7000-2002d8000 ---p 00000000 00:00 0                                [anon:partition_alloc]
2002d8000-2002e7000 rw-p 00000000 00:00 0                                [anon:partition_alloc]
2002e7000-2002e8000 ---p 00000000 00:00 0                                [anon:partition_alloc]
2002e8000-2002fb000 rw-p 00000000 00:00 0                                [anon:partition_alloc]
